
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 1 (OPE) W+T1+P2

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.

   10	     0.000	    -0.000	     0.000	    0.0000	    0.0000	    0.0000
   20	    -0.000	     0.014	     0.000	    0.0000	    0.0000	    0.0000
   28	    -0.081	     0.209	     0.017	    0.0009	    0.0029	    0.0065
   29	    -0.146	     0.212	     0.027	    0.0019	    0.0040	    0.0211
   30	    -0.213	     0.132	     0.052	    0.0031	    0.0076	    0.0242
   40	    -0.796	    -0.000	     0.608	    0.0011	    0.0044	   -0.0043
   50	    -0.957	    -0.026	     0.662	    0.0006	    0.0005	   -0.0022
   53	    -0.971	    -0.022	     0.663	    0.0006	    0.0005	   -0.0023
   56	    -1.040	     0.001	     0.667	    0.0006	    0.0004	   -0.0030
   60	    -1.054	     0.007	     0.668	    0.0006	    0.0004	   -0.0031
   70	    -1.081	     0.025	     0.667	    0.0005	   -0.0006	   -0.0059
   80	    -1.089	    -0.000	     0.790	    0.0064	   -0.0004	   -0.0108
   88	    -1.094	    -0.133	     0.886	    0.0125	   -0.0003	   -0.0147
   89	    -1.081	    -0.196	     0.923	    0.0186	    0.0009	   -0.0168
   90	    -1.037	    -0.274	     0.973	    0.0208	    0.0033	   -0.0199
  100	    -0.946	    -0.391	     1.052	    0.0201	    0.0032	   -0.0208
  109	    -0.885	    -0.406	     1.084	    0.0154	    0.0059	   -0.0241
  110	    -0.816	    -0.399	     1.112	    0.0091	    0.0071	   -0.0264
  118	     0.134	    -0.126	     1.336	    0.0037	    0.0071	   -0.0281
  119	     0.289	    -0.081	     1.342	   -0.0068	    0.0081	   -0.0311
  120	     0.391	    -0.028	     1.363	   -0.0050	    0.0090	   -0.0319
  130	     0.441	    -0.000	     1.407	   -0.0034	    0.0090	   -0.0322
  140	     0.787	    -0.000	     1.711	    0.0018	    0.0087	   -0.0343
  150	     1.110	    -0.000	     2.015	   -0.0044	    0.0079	   -0.0364
  160	     1.394	    -0.000	     2.320	    0.0174	    0.0067	   -0.0385
  168	     1.655	    -1.677	     2.677	    0.0420	    0.0047	   -0.0410
  169	     1.652	    -1.779	     2.718	    0.0360	    0.0004	   -0.0436
  170	     1.613	    -1.631	     2.724	    0.0338	   -0.0039	   -0.0471
  180	     1.306	    -0.000	     2.534	    0.0307	   -0.0058	   -0.0250
  190	     0.660	    -0.000	     1.927	    0.0242	   -0.0088	    0.0212
  200	    -0.272	    -0.000	     0.728	    0.0148	   -0.0110	   -0.0153
  208	    -0.685	    -0.093	     0.143	    0.0107	   -0.0111	    0.0027
  209	    -0.736	    -0.087	     0.074	    0.0093	   -0.0095	   -0.0114
  210	    -0.833	    -0.094	     0.023	    0.0050	   -0.0079	   -0.0222
  220	    -0.937	    -0.130	    -0.000	    0.0047	   -0.0079	   -0.0227
  230	    -2.044	    -0.464	     0.000	   -0.0085	   -0.0077	   -0.0283
  238	    -2.132	    -0.488	     0.029	   -0.0102	   -0.0077	   -0.0287
  239	    -2.187	    -0.496	     0.062	   -0.0250	   -0.0081	   -0.0323
  240	    -2.247	    -0.486	     0.119	   -0.0387	   -0.0093	   -0.0355
  248	    -2.422	    -0.420	     0.309	   -0.0403	   -0.0092	   -0.0362
  249	    -2.624	    -0.262	     0.494	   -0.0469	   -0.0103	   -0.0408
  250	    -2.732	    -0.084	     0.527	   -0.0417	   -0.0111	   -0.0122
  260	    -2.801	    -0.000	     0.431	   -0.0399	   -0.0110	   -0.0019
  270	    -1.053	     0.033	     0.538	    0.0000	   -0.0028	   -0.0071
  280	    -1.048	     0.034	     0.524	    0.0000	   -0.0028	   -0.0071
  290	    -1.037	     0.034	     0.494	   -0.0008	   -0.0033	   -0.0074
  300	    -0.994	    -0.000	     0.407	   -0.0041	   -0.0043	   -0.0090
  310	    -0.933	    -0.057	     0.309	   -0.0030	   -0.0053	   -0.0107
  313	    -0.924	    -0.063	     0.295	   -0.0030	   -0.0053	   -0.0108
  316	    -0.875	    -0.075	     0.227	    0.0008	   -0.0057	   -0.0120
  320	    -0.865	    -0.074	     0.213	    0.0008	   -0.0057	   -0.0120
  330	    -0.835	    -0.063	     0.173	    0.0033	   -0.0059	   -0.0127
  333	    -0.825	    -0.057	     0.159	    0.0033	   -0.0059	   -0.0127
  336	    -0.769	    -0.024	     0.085	    0.0035	   -0.0059	   -0.0128
  340	    -0.758	    -0.017	     0.071	    0.0034	   -0.0059	   -0.0129
  350	    -0.732	    -0.000	     0.037	    0.0004	   -0.0060	   -0.0135
  358	    -0.710	    -0.011	     0.007	   -0.0023	   -0.0060	   -0.0133
  359	    -0.656	    -0.068	    -0.064	   -0.0187	   -0.0059	   -0.0128
  360	    -0.589	    -0.063	    -0.136	   -0.0026	   -0.0055	   -0.0110
  370	    -0.588	    -0.062	    -0.136	   -0.0026	   -0.0055	   -0.0110
  380	    -0.568	    -0.048	    -0.141	   -0.0025	   -0.0055	   -0.0110
  390	    -0.529	    -0.021	    -0.149	   -0.0019	   -0.0056	   -0.0110
  398	    -0.265	     0.164	    -0.159	    0.0008	   -0.0060	   -0.0112
  399	    -0.250	     0.173	    -0.156	    0.0026	   -0.0061	   -0.0117
  400	    -0.235	     0.179	    -0.148	    0.0043	   -0.0063	   -0.0122
  408	    -0.032	     0.241	    -0.017	    0.0050	   -0.0065	   -0.0122
  409	    -0.016	     0.247	    -0.008	    0.0050	   -0.0065	   -0.0122
  410	    -0.001	     0.255	    -0.000	    0.0051	   -0.0065	   -0.0121
  420	     0.000	     0.256	    -0.000	    0.0051	   -0.0065	   -0.0121
  430	    -2.854	    -0.032	     0.355	   -0.0385	   -0.0110	    0.0078
  440	    -2.888	    -0.081	     0.308	   -0.0376	   -0.0109	    0.0119
  450	    -2.922	    -0.142	     0.261	   -0.0367	   -0.0108	    0.0143
  460	    -2.949	    -0.197	     0.224	   -0.0360	   -0.0108	    0.0153
  470	    -2.963	    -0.225	     0.204	   -0.0360	   -0.0108	    0.0153
  480	    -2.980	    -0.279	     0.188	   -0.0350	   -0.0107	    0.0150
  490	    -2.996	    -0.310	     0.167	   -0.0341	   -0.0106	    0.0141
  500	    -0.680	     0.028	     0.038	    0.0004	   -0.0060	   -0.0140
  510	    -0.654	     0.043	     0.039	    0.0004	   -0.0060	   -0.0140
  520	    -0.604	     0.070	     0.040	    0.0003	   -0.0060	   -0.0144
  528	    -0.046	     0.355	     0.048	    0.0002	   -0.0060	   -0.0151
  529	     0.015	     0.430	     0.035	    0.0000	   -0.0061	   -0.0130
  530	    -0.000	     0.520	     0.000	    0.0000	   -0.0061	   -0.0125
  540	    -0.001	     0.521	    -0.000	    0.0000	   -0.0061	   -0.0125
  550	    -1.064	     0.005	     0.496	   -0.0001	   -0.0034	   -0.0072
